Time Period,Time Period Start,Time Period End,Week,Start,End
Q1-2017,1/1/2017,3/31/2017,1,1/1/2017,1/8/2017
Q1-2017,1/1/2017,3/31/2017,2,1/9/2017,1/15/2017
Q1-2017,1/1/2017,3/31/2017,3,1/16/2017,1/22/2017
Q1-2017,1/1/2017,3/31/2017,4,1/23/2017,1/29/2017
Q1-2017,1/1/2017,3/31/2017,5,1/30/2017,2/5/2017
Q1-2017,1/1/2017,3/31/2017,6,2/6/2017,2/12/2017
Q1-2017,1/1/2017,3/31/2017,7,2/13/2017,2/19/2017
Q1-2017,1/1/2017,3/31/2017,8,2/20/2017,2/26/2017
Q1-2017,1/1/2017,3/31/2017,9,2/27/2017,3/5/2017
Q1-2017,1/1/2017,3/31/2017,10,3/6/2017,3/12/2017
Q1-2017,1/1/2017,3/31/2017,11,3/13/2017,3/19/2017
Q1-2017,1/1/2017,3/31/2017,12,3/20/2017,3/26/2017
Q1-2017,1/1/2017,3/31/2017,13,3/27/2017,3/31/2017
Q2-2017,4/1/2017,6/30/2017,1,4/1/2017,4/9/2017
Q2-2017,4/1/2017,6/30/2017,2,4/10/2017,4/16/2017
Q2-2017,4/1/2017,6/30/2017,3,4/17/2017,4/23/2017
Q2-2017,4/1/2017,6/30/2017,4,4/24/2017,4/30/2017
Q2-2017,4/1/2017,6/30/2017,5,5/1/2017,5/7/2017
Q2-2017,4/1/2017,6/30/2017,6,5/8/2017,5/14/2017
Q2-2017,4/1/2017,6/30/2017,7,5/15/2017,5/21/2017
Q2-2017,4/1/2017,6/30/2017,8,5/22/2017,5/28/2017
Q2-2017,4/1/2017,6/30/2017,9,5/29/2017,6/4/2017
Q2-2017,4/1/2017,6/30/2017,10,6/5/2017,6/11/2017
Q2-2017,4/1/2017,6/30/2017,11,6/12/2017,6/18/2017
Q2-2017,4/1/2017,6/30/2017,12,6/19/2017,6/25/2017
Q2-2017,4/1/2017,6/30/2017,13,6/26/2017,6/30/2017
Q3-2017,7/1/2017,9/30/2017,1,7/1/2017,7/9/2017
Q3-2017,7/1/2017,9/30/2017,2,7/10/2017,7/16/2017
Q3-2017,7/1/2017,9/30/2017,3,7/17/2017,7/23/2017
Q3-2017,7/1/2017,9/30/2017,4,7/24/2017,7/30/2017
Q3-2017,7/1/2017,9/30/2017,5,7/31/2017,8/6/2017
Q3-2017,7/1/2017,9/30/2017,6,8/7/2017,8/13/2017
Q3-2017,7/1/2017,9/30/2017,7,8/14/2017,8/20/2017
Q3-2017,7/1/2017,9/30/2017,8,8/21/2017,8/27/2017
Q3-2017,7/1/2017,9/30/2017,9,8/28/2017,9/3/2017
Q3-2017,7/1/2017,9/30/2017,10,9/4/2017,9/10/2017
Q3-2017,7/1/2017,9/30/2017,11,9/11/2017,9/17/2017
Q3-2017,7/1/2017,9/30/2017,12,9/18/2017,9/24/2017
Q3-2017,7/1/2017,9/30/2017,13,9/25/2017,9/30/2017
